,set_coefs
alfa,1.045380158
beta,1.005260501
CYBB,0.164005806
NCF1,0
NCF2,0.064820098
NDUFS3,0.247362721
UQCRC1,0.136682396
PLA2G7,0.079096094
PRPF19,0.422677964
CPSF3,0.30462504
CYBB_NCF1,0
CYBB_NCF2,0
CYBB_NDUFS3,0.100304615
CYBB_UQCRC1,0.056827239
CYBB_PLA2G7,0
CYBB_PRPF19,0.060852651
CYBB_CPSF3,0.070302771
NCF1_NCF2,0
NCF1_NDUFS3,0
NCF1_UQCRC1,0
NCF1_PLA2G7,0
NCF1_PRPF19,0
NCF1_CPSF3,0
NCF2_NDUFS3,0
NCF2_UQCRC1,0
NCF2_PLA2G7,0
NCF2_PRPF19,0
NCF2_CPSF3,0.059987582
NDUFS3_UQCRC1,0
NDUFS3_PLA2G7,0
NDUFS3_PRPF19,0
NDUFS3_CPSF3,0
UQCRC1_PLA2G7,0
UQCRC1_PRPF19,0
UQCRC1_CPSF3,0
PLA2G7_PRPF19,0
PLA2G7_CPSF3,0
PRPF19_CPSF3,0
GPX1,0
GPX8,0
PRDX4,0
GSS,0
TXNRD1,0
HEXB,0
GM2A,0
FN3K,0.07135248
PARK7,0
PCMT1,0
NPM1,0
LSM2,0
AGO1,0
POLR2G,0
DHX9,0
GPX1_GPX8,0.060426585
GPX1_PRDX4,0
GPX1_GSS,0
GPX1_TXNRD1,0
GPX1_HEXB,0
GPX1_GM2A,0
GPX1_FN3K,0
GPX1_PARK7,0
GPX1_PCMT1,0.056338216
GPX1_NPM1,0
GPX1_LSM2,0.064799071
GPX1_AGO1,0
GPX1_POLR2G,0
GPX1_DHX9,0.067637181
GPX8_PRDX4,0
GPX8_GSS,0
GPX8_TXNRD1,0
GPX8_HEXB,0
GPX8_GM2A,0
GPX8_FN3K,0
GPX8_PARK7,0
GPX8_PCMT1,0.054910482
GPX8_NPM1,0
GPX8_LSM2,0
GPX8_AGO1,0
GPX8_POLR2G,0
GPX8_DHX9,0
PRDX4_GSS,0.062381979
PRDX4_TXNRD1,0
PRDX4_HEXB,0
PRDX4_GM2A,0
PRDX4_FN3K,0
PRDX4_PARK7,0
PRDX4_PCMT1,0
PRDX4_NPM1,0
PRDX4_LSM2,0
PRDX4_AGO1,0
PRDX4_POLR2G,0
PRDX4_DHX9,0
GSS_TXNRD1,0
GSS_HEXB,0
GSS_GM2A,0
GSS_FN3K,0
GSS_PARK7,0.048494196
GSS_PCMT1,0
GSS_NPM1,0.073928291
GSS_LSM2,0.097498573
GSS_AGO1,0
GSS_POLR2G,0
GSS_DHX9,0
TXNRD1_HEXB,0
TXNRD1_GM2A,0
TXNRD1_FN3K,0
TXNRD1_PARK7,0
TXNRD1_PCMT1,0
TXNRD1_NPM1,0
TXNRD1_LSM2,0
TXNRD1_AGO1,0
TXNRD1_POLR2G,0
TXNRD1_DHX9,0
HEXB_GM2A,0.052901469
HEXB_FN3K,0
HEXB_PARK7,0
HEXB_PCMT1,0
HEXB_NPM1,0.057469374
HEXB_LSM2,0.059833918
HEXB_AGO1,0
HEXB_POLR2G,0
HEXB_DHX9,0
GM2A_FN3K,0
GM2A_PARK7,0
GM2A_PCMT1,0.06507986
GM2A_NPM1,0
GM2A_LSM2,0
GM2A_AGO1,0
GM2A_POLR2G,0
GM2A_DHX9,0
FN3K_PARK7,0
FN3K_PCMT1,0
FN3K_NPM1,0
FN3K_LSM2,0
FN3K_AGO1,0
FN3K_POLR2G,0
FN3K_DHX9,0
PARK7_PCMT1,0
PARK7_NPM1,0
PARK7_LSM2,0
PARK7_AGO1,0
PARK7_POLR2G,0.040015206
PARK7_DHX9,0
PCMT1_NPM1,0
PCMT1_LSM2,0
PCMT1_AGO1,0
PCMT1_POLR2G,0.061070998
PCMT1_DHX9,0
NPM1_LSM2,0
NPM1_AGO1,0
NPM1_POLR2G,0
NPM1_DHX9,0
LSM2_AGO1,0
LSM2_POLR2G,0
LSM2_DHX9,0
AGO1_POLR2G,0
AGO1_DHX9,0
POLR2G_DHX9,0
GSK3A,0.185431725
DERL1,0.069821112
GSK3B,0.082862835
TMEM33,0.084215334
STAU1,0.070527778
MBTPS2,0
ATP2A2,0.061792853
UBQLN1,0.04580923
PARP1,0
TMCO1,0.074886668
NONO,0
UGGT1,0
SSR1,0
FAF2,0
USP14,0.459449783
TMX1,0
OPA1,0.116349046
ERCC8,0.071405468
EIF2S1,0
GORASP2,0
BFAR,0
GSK3A_DERL1,0
GSK3A_GSK3B,0
GSK3A_TMEM33,0
GSK3A_STAU1,0
GSK3A_MBTPS2,0
GSK3A_ATP2A2,0
GSK3A_UBQLN1,0
GSK3A_PARP1,0
GSK3A_TMCO1,0
GSK3A_NONO,0
GSK3A_UGGT1,0
GSK3A_SSR1,0
GSK3A_FAF2,0
GSK3A_USP14,0
GSK3A_TMX1,0
GSK3A_OPA1,0
GSK3A_ERCC8,0
GSK3A_EIF2S1,0
GSK3A_GORASP2,0
GSK3A_BFAR,0
DERL1_GSK3B,0
DERL1_TMEM33,0
DERL1_STAU1,0
DERL1_MBTPS2,0
DERL1_ATP2A2,0
DERL1_UBQLN1,0
DERL1_PARP1,0
DERL1_TMCO1,0.083443875
DERL1_NONO,0
DERL1_UGGT1,0
DERL1_SSR1,0
DERL1_FAF2,0
DERL1_USP14,0
DERL1_TMX1,0
DERL1_OPA1,0
DERL1_ERCC8,0
DERL1_EIF2S1,0
DERL1_GORASP2,0
DERL1_BFAR,0
GSK3B_TMEM33,0
GSK3B_STAU1,0
GSK3B_MBTPS2,0
GSK3B_ATP2A2,0
GSK3B_UBQLN1,0
GSK3B_PARP1,0
GSK3B_TMCO1,0
GSK3B_NONO,0
GSK3B_UGGT1,0
GSK3B_SSR1,0
GSK3B_FAF2,0
GSK3B_USP14,0
GSK3B_TMX1,0
GSK3B_OPA1,0
GSK3B_ERCC8,0
GSK3B_EIF2S1,0
GSK3B_GORASP2,0
GSK3B_BFAR,0
TMEM33_STAU1,0.047085303
TMEM33_MBTPS2,0
TMEM33_ATP2A2,0
TMEM33_UBQLN1,0
TMEM33_PARP1,0
TMEM33_TMCO1,0
TMEM33_NONO,0
TMEM33_UGGT1,0
TMEM33_SSR1,0
TMEM33_FAF2,0
TMEM33_USP14,0
TMEM33_TMX1,0
TMEM33_OPA1,0
TMEM33_ERCC8,0
TMEM33_EIF2S1,0
TMEM33_GORASP2,0
TMEM33_BFAR,0.057220815
STAU1_MBTPS2,0
STAU1_ATP2A2,0
STAU1_UBQLN1,0
STAU1_PARP1,0
STAU1_TMCO1,0
STAU1_NONO,0.068940197
STAU1_UGGT1,0
STAU1_SSR1,0
STAU1_FAF2,0
STAU1_USP14,0
STAU1_TMX1,0
STAU1_OPA1,0
STAU1_ERCC8,0
STAU1_EIF2S1,0
STAU1_GORASP2,0
STAU1_BFAR,0
MBTPS2_ATP2A2,0
MBTPS2_UBQLN1,0
MBTPS2_PARP1,0
MBTPS2_TMCO1,0
MBTPS2_NONO,0.040010099
MBTPS2_UGGT1,0
MBTPS2_SSR1,0
MBTPS2_FAF2,0
MBTPS2_USP14,0
MBTPS2_TMX1,0
MBTPS2_OPA1,0
MBTPS2_ERCC8,0
MBTPS2_EIF2S1,0
MBTPS2_GORASP2,0
MBTPS2_BFAR,0
ATP2A2_UBQLN1,0
ATP2A2_PARP1,0
ATP2A2_TMCO1,0.08110421
ATP2A2_NONO,0
ATP2A2_UGGT1,0
ATP2A2_SSR1,0
ATP2A2_FAF2,0
ATP2A2_USP14,0
ATP2A2_TMX1,0
ATP2A2_OPA1,0
ATP2A2_ERCC8,0
ATP2A2_EIF2S1,0
ATP2A2_GORASP2,0
ATP2A2_BFAR,0
UBQLN1_PARP1,0
UBQLN1_TMCO1,0
UBQLN1_NONO,0
UBQLN1_UGGT1,0
UBQLN1_SSR1,0
UBQLN1_FAF2,0
UBQLN1_USP14,0
UBQLN1_TMX1,0
UBQLN1_OPA1,0
UBQLN1_ERCC8,0
UBQLN1_EIF2S1,0
UBQLN1_GORASP2,0
UBQLN1_BFAR,0
PARP1_TMCO1,0
PARP1_NONO,0
PARP1_UGGT1,0
PARP1_SSR1,0
PARP1_FAF2,0
PARP1_USP14,0
PARP1_TMX1,0
PARP1_OPA1,0
PARP1_ERCC8,0
PARP1_EIF2S1,0
PARP1_GORASP2,0
PARP1_BFAR,0
TMCO1_NONO,0
TMCO1_UGGT1,0.09521528
TMCO1_SSR1,0
TMCO1_FAF2,0
TMCO1_USP14,0
TMCO1_TMX1,0
TMCO1_OPA1,0
TMCO1_ERCC8,0
TMCO1_EIF2S1,0
TMCO1_GORASP2,0
TMCO1_BFAR,0
NONO_UGGT1,0
NONO_SSR1,0
NONO_FAF2,0
NONO_USP14,0
NONO_TMX1,0
NONO_OPA1,0
NONO_ERCC8,0
NONO_EIF2S1,0
NONO_GORASP2,0
NONO_BFAR,0.041914163
UGGT1_SSR1,0
UGGT1_FAF2,0
UGGT1_USP14,0
UGGT1_TMX1,0
UGGT1_OPA1,0
UGGT1_ERCC8,0
UGGT1_EIF2S1,0
UGGT1_GORASP2,0
UGGT1_BFAR,0
SSR1_FAF2,0
SSR1_USP14,0
SSR1_TMX1,0
SSR1_OPA1,0
SSR1_ERCC8,0
SSR1_EIF2S1,0
SSR1_GORASP2,0
SSR1_BFAR,0
FAF2_USP14,0
FAF2_TMX1,0.063729581
FAF2_OPA1,0
FAF2_ERCC8,0
FAF2_EIF2S1,0
FAF2_GORASP2,0
FAF2_BFAR,0
USP14_TMX1,0
USP14_OPA1,0
USP14_ERCC8,0
USP14_EIF2S1,0
USP14_GORASP2,0
USP14_BFAR,0
TMX1_OPA1,0
TMX1_ERCC8,0
TMX1_EIF2S1,0
TMX1_GORASP2,0.05556704
TMX1_BFAR,0
OPA1_ERCC8,0
OPA1_EIF2S1,0
OPA1_GORASP2,0
OPA1_BFAR,0
ERCC8_EIF2S1,0
ERCC8_GORASP2,0
ERCC8_BFAR,0
EIF2S1_GORASP2,0
EIF2S1_BFAR,0
GORASP2_BFAR,0
